date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:37	97/97	---M--	200	added ('OK')	text/plain	etag:%22a9f7fe6d27286be22f4d59499f71d813%22	https://genlook.app/robots.txt		(from )
16:51:38	472105/472105	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2011:21:37%20GMT	https://genlook.app/	./genlook-clone/genlook.app/index.html	(from )
16:51:39	1768/1768	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229b4bcd6d575d0f0359dc17cc893a50ea%22	https://genlook.app/genlook-logo.svg	./genlook-clone/genlook.app/genlook-logo.svg	(from https://genlook.app/)
16:51:40	82327/82327	---MCZ	200	added ('OK')	text/css	etag:W/%220e1456f921b05aa2caa346266130702e%22	https://genlook.app/_next/static/chunks/0e019mk87yonf.css?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/0e019mk87yonf5357.css	(from https://genlook.app/)
16:51:41	29918/29918	---MCZ	200	added ('OK')	application/javascript	etag:W/%2206c11c17f84d30b15551e4e44cc7f292%22	https://genlook.app/_next/static/chunks/0apo_1sl~amv0.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/0apo_1sl_amv05357.js	(from https://genlook.app/)
16:51:42	44410/44410	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214a456d122c917ac086a1aee98c8e0c8%22	https://genlook.app/_next/static/chunks/0_xvpw4hrx-b5.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/0_xvpw4hrx-b55357.js	(from https://genlook.app/)
16:51:43	144621/144621	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271b71f135c90007d919dde5b80c55c1b%22	https://genlook.app/_next/static/chunks/12q.4kyea_d1..js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/12q.4kyea_d1.5357.js	(from https://genlook.app/)
16:51:44	226614/226614	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f7f396e70e463c64c282c84c88e4f6d9%22	https://genlook.app/_next/static/chunks/1129ys.b7cfgz.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/1129ys.b7cfgz5357.js	(from https://genlook.app/)
16:51:45	178668/178668	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bd122112fd6dbe844a281233e22b32e9%22	https://genlook.app/_next/static/chunks/0dn-lbamb-i0k.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/0dn-lbamb-i0k5357.js	(from https://genlook.app/)
16:51:46	10980/10980	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f0b41a192b3065be33c27256db4c441%22	https://genlook.app/_next/static/chunks/turbopack-0xao89z0hsv5g.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/turbopack-0xao89z0hsv5g5357.js	(from https://genlook.app/)
16:51:47	3377/3377	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bc37fc3f18dd051ddfa79cc15b4a7d2f%22	https://genlook.app/_next/static/chunks/086qss1h4s33l.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/086qss1h4s33l5357.js	(from https://genlook.app/)
16:51:48	54639/54639	---MCZ	200	added ('OK')	application/javascript	etag:W/%22deddbd636232d37edb32f10911371cc8%22	https://genlook.app/_next/static/chunks/107s02yr0lg3l.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/107s02yr0lg3l5357.js	(from https://genlook.app/)
16:51:49	5830/5830	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a1c1e059d0dfa5f529f8cae48e457c73%22	https://genlook.app/_next/static/chunks/0.1169y_bradq.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/0.1169y_bradq5357.js	(from https://genlook.app/)
16:51:50	26349/26349	---MCZ	200	added ('OK')	application/javascript	etag:W/%2205ad9d8334dbeccf3548834bb1090010%22	https://genlook.app/_next/static/chunks/17h5i0gfd1qq3.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/17h5i0gfd1qq35357.js	(from https://genlook.app/)
16:51:51	44825/44825	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f908f4c0f730c0851451e960fe245275%22	https://genlook.app/_next/static/chunks/0s6i65~vmqrn8.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/0s6i65_vmqrn85357.js	(from https://genlook.app/)
16:51:52	74574/74574	---MCZ	200	added ('OK')	application/javascript	etag:W/%227adc2b8898c4763567d62ab456639ae5%22	https://genlook.app/_next/static/chunks/0bgk7vaedv8az.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/0bgk7vaedv8az5357.js	(from https://genlook.app/)
16:51:53	119907/119907	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f8b3e67f582d677307cc07ca0d6c5646%22	https://genlook.app/_next/static/chunks/0jbkjgtdp8ox-.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/0jbkjgtdp8ox-5357.js	(from https://genlook.app/)
16:51:54	46637/46637	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed763f9a9b49d366e0e0c5d2a283ab73%22	https://genlook.app/_next/static/chunks/0ihzd2agskwb9.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/0ihzd2agskwb95357.js	(from https://genlook.app/)
16:51:54	599/599	---M--	200	added ('OK')	image/png	etag:%228e781bb6c774606041a587498246db5c%22	https://genlook.app/genlook-logo-32x32.png	./genlook-clone/genlook.app/genlook-logo-32x32.png	(from https://genlook.app/)
16:51:55	1940/1940	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22642438be1158fd8a3edb30277df82855%22	https://genlook.app/favicon.ico?favicon.0.ta1kmw~7is9.ico	./genlook-clone/genlook.app/favicon51bc.ico	(from https://genlook.app/)
16:51:56	14006/14006	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Apr%202026%2011:21:55%20GMT	https://genlook.app/branding/logo-base-256x256.png	./genlook-clone/genlook.app/branding/logo-base-256x256.12.delayed	(from https://genlook.app/)
16:51:58	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://genlook.app/_next/static/chunks/03~yq9q893hmn.js?dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/static/chunks/03_yq9q893hmn5357.js	(from https://genlook.app/)
16:51:59	353211/353211	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2011:21:58%20GMT	https://genlook.app/blog	./genlook-clone/genlook.app/blog.html	(from https://genlook.app/)
16:52:00	232362/232362	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2011:21:59%20GMT	https://genlook.app/studio	./genlook-clone/genlook.app/studio.html	(from https://genlook.app/)
16:52:01	91163/91163	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Mar%202026%2014:08:25%20GMT	https://genlook.app/_next/image?url=%2Ftry-on-examples%2Fdress-1%2Fbefore.jpeg&w=3840&q=75&dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/beforea0d9.jpg	(from https://genlook.app/)
16:52:02	82837/82837	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Mar%202026%2014:08:24%20GMT	https://genlook.app/_next/image?url=%2Ftry-on-examples%2Fdress-1%2Fafter.jpeg&w=3840&q=75&dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/afterb523.jpg	(from https://genlook.app/)
16:52:03	58693/58693	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Mar%202026%2020:58:30%20GMT	https://genlook.app/_next/image?url=%2Ftry-on-examples%2Fdress-1%2Fimage.png&w=3840&q=75&dpl=dpl_7pqyJ4MUNy18DULZMmQpFiY4Trjw	./genlook-clone/genlook.app/_next/image3e28.png	(from https://genlook.app/)
